word,frequency,lang_code
que,14421005,es
por,4454673,es
qué,4166708,es
una,3846322,es
los,3069193,es
con,3028045,es
para,2832100,es
está,2433246,es
pero,2369484,es
bien,2045290,es
eso,2029720,es
las,2001203,es
del,1647872,es
como,1630651,es
aquí,1625090,es
más,1503527,es
esto,1297847,es
todo,1296897,es
estoy,1092574,es
ahora,1088174,es
muy,1086248,es
esta,1051900,es
así,1050332,es
vamos,1049315,es
algo,1039192,es
hay,1014288,es
bueno,1012700,es
tengo,954371,es
cuando,931329,es
estás,917354,es
nos,866968,es
nada,863844,es
cómo,862349,es
este,858931,es
ser,819688,es
tiene,807065,es
puedo,806048,es
ella,800671,es
quiero,798831,es
hacer,794408,es
fue,781449,es
gracias,779503,es
vez,767227,es
era,765725,es
soy,745166,es
sólo,741588,es
todos,686692,es
porque,685059,es
son,671394,es
tienes,670767,es
creo,651433,es
voy,639418,es
sabes,636739,es
estaba,636659,es
puede,631326,es
eres,630024,es
ese,624205,es
usted,618844,es
entonces,609938,es
hola,601523,es
solo,590343,es
verdad,589565,es
casa,587832,es
tan,573916,es
quién,566465,es
sus,562087,es
tiempo,556996,es
dos,556427,es
esa,553442,es
nunca,549997,es
dónde,539643,es
favor,527629,es
mucho,516361,es
quieres,515465,es
siento,512907,es
señor,507728,es
mejor,500478,es
hace,495352,es
has,492533,es
decir,492098,es
también,488057,es
sobre,478020,es
dios,476939,es
sin,474770,es
tenemos,473895,es
están,471887,es
puedes,463318,es
ver,462775,es
hombre,460084,es
vida,453649,es
alguien,447141,es
cosas,424801,es
siempre,424363,es
hasta,423321,es
ahí,422871,es
años,408547,es
antes,405555,es
estar,402369,es
poco,397739,es
día,395131,es
uno,393047,es
noche,391078,es
hecho,391011,es
mis,385798,es
estamos,376563,es
otra,368984,es
acuerdo,367329,es
trabajo,363747,es
nosotros,357836,es
parece,355615,es
gente,354586,es
sea,352790,es
padre,351051,es
mira,349779,es
mismo,347834,es
dijo,342900,es
nadie,339772,es
quiere,332148,es
podría,329332,es
hablar,327201,es
vas,327127,es
ellos,323892,es
tal,317926,es
pasa,315529,es
fuera,311571,es
después,311500,es
han,308501,es
desde,303620,es
dinero,300518,es
mundo,298208,es
claro,296584,es
momento,294559,es
les,294439,es
tener,292932,es
estado,292015,es
otro,290565,es
había,289157,es
mañana,283391,es
tenía,282966,es
madre,281646,es
vale,280447,es
lugar,280315,es
haciendo,278317,es
donde,277524,es
seguro,277231,es
sabe,273895,es
podemos,272425,es
tus,271677,es
espera,270741,es
nuevo,269895,es
sido,269505,es
cosa,269054,es
hijo,267856,es
allí,267215,es
menos,263837,es
tipo,262340,es
amigo,258356,es
gran,257648,es
nuestro,254046,es
mujer,249627,es
mamá,247700,es
luego,245811,es
papá,243251,es
días,243003,es
dice,240795,es
hoy,240395,es
tres,239782,es
buena,238330,es
necesito,237654,es
dije,235936,es
oye,234324,es
gusta,233367,es
quería,230602,es
será,230159,es
haber,229602,es
parte,229038,es
todas,227146,es
crees,225748,es
buen,224802,es
conmigo,224527,es
nombre,222406,es
mierda,221567,es
nuestra,221503,es
mal,220024,es
debe,218223,es
realmente,217847,es
estas,216844,es
aún,215129,es
mío,212096,es
toda,211746,es
hacerlo,209901,es
cada,209674,es
visto,206949,es
importa,203118,es
contigo,202208,es
tienen,200708,es
hemos,200028,es
razón,198832,es
alguna,198263,es
tanto,197519,es
saber,196610,es
hizo,196192,es
veces,195756,es
serio,194846,es
ven,193452,es
idea,193369,es
tarde,191883,es
problema,189963,es
hora,189851,es
cierto,189653,es
dicho,187895,es
quien,187133,es
demasiado,182668,es
amor,182326,es
entre,181114,es
pasado,178763,es
familia,177748,es
estos,176532,es
policía,175471,es
debería,175394,es
ustedes,174241,es
chica,173210,es
esos,171237,es
chicos,170008,es
cuenta,169714,es
haces,166985,es
todavía,166624,es
salir,165591,es
algún,163790,es
vaya,162833,es
unos,162525,es
veo,162326,es
amigos,160684,es
hermano,159678,es
pensé,159438,es
sabía,156439,es
cabeza,156069,es
cariño,153353,es
digo,153149,es
van,153024,es
hombres,151647,es
buenas,151571,es
somos,151256,es
cualquier,150946,es
forma,150750,es
mientras,150383,es
lado,149162,es
debo,148975,es
sería,148309,es
caso,148273,es
pueden,148183,es
pasó,145810,es
primera,145110,es
genial,145028,es
chico,145009,es
supuesto,144428,es
hice,144174,es
pues,143870,es
adiós,143677,es
muchas,143007,es
personas,141945,es
señora,141893,es
volver,141009,es
esas,140885,es
quizá,140794,es
contra,140485,es
camino,140092,es
durante,139987,es
hablando,139007,es
manera,137722,es
muerto,137301,es
persona,136985,es
rápido,136953,es
cuál,136406,es
ayuda,136155,es
historia,135924,es
iba,135256,es
supongo,134885,es
nueva,134490,es
entiendo,134138,es
dentro,133954,es
casi,133614,es
puerta,133533,es
ves,133094,es
pasar,131693,es
primero,131298,es
significa,130774,es
semana,130555,es
hacia,130000,es
quizás,129544,es
espero,129454,es
juntos,129353,es
año,128910,es
niños,128856,es
pronto,128135,es
tío,127895,es
suerte,127246,es
ciudad,126710,es
siquiera,126506,es
feliz,125692,es
venir,124376,es
hija,124289,es
gustaría,124196,es
minutos,123912,es
cuánto,123138,es
hey,122432,es
muerte,122057,es
dejar,121779,es
realidad,121027,es
deja,120259,es
problemas,120138,es
importante,119177,es
dijiste,119038,es
corazón,118685,es
miedo,118624,es
jefe,118458,es
agua,117654,es
haré,117579,es
justo,117044,es
horas,116873,es
poder,115246,es
buenos,115064,es
esposa,114925,es
manos,114921,es
debes,114812,es
viene,114395,es
venga,114109,es
nuestros,114018,es
ojos,113772,es
adelante,113192,es
encontrar,113028,es
mano,112665,es
cinco,112532,es
niño,112512,es
ninguna,112227,es
otros,112169,es
cara,111953,es
cuidado,111524,es
bajo,111241,es
cerca,110690,es
viejo,110403,es
déjame,109679,es
noches,109592,es
bastante,109431,es
fin,109402,es
tomar,109183,es
único,108435,es
misma,108033,es
escucha,107286,es
ningún,107193,es
suficiente,107106,es
punto,106940,es
cuándo,106920,es
sigue,106764,es
haya,106729,es
equipo,106584,es
grande,106057,es
necesita,105889,es
llegar,105719,es
incluso,105304,es
algunos,105052,es
doctor,104991,es
difícil,104985,es
aunque,104655,es
hubiera,104473,es
primer,104138,es
coche,103946,es
hago,103901,es
clase,103827,es
cuatro,103805,es
mas,103445,es
dices,103279,es
pequeño,103016,es
llama,102848,es
toma,102733,es
hiciste,102722,es
allá,102642,es
última,102333,es
arriba,102254,es
tierra,102197,es
guerra,101887,es
pensar,101695,es
pueda,101487,es
igual,101272,es
loco,100021,es
sangre,99844,es
mujeres,99536,es
vuelta,99529,es
fui,99366,es
trabajar,99262,es
tenido,99237,es
juego,99041,es
deberías,98960,es
cuerpo,98410,es
algunas,96075,es
entrar,95899,es
cree,95859,es
podía,95527,es
debemos,95445,es
oportunidad,95375,es
teléfono,95015,es
necesitamos,94964,es
final,94883,es
listo,94769,es
fiesta,94739,es
muchos,94250,es
estabas,94097,es
quieren,94018,es
vete,93782,es
auto,93654,es
dar,92706,es
vivir,92629,es
posible,92449,es
hermana,92291,es
número,92183,es
meses,92062,es
exactamente,91598,es
culpa,91506,es
abajo,91298,es
escuela,90725,es
ido,90670,es
fuerte,90226,es
diciendo,90048,es
habla,90023,es
esté,89826,es
ello,89741,es
pregunta,89617,es
chicas,89467,es
eran,89418,es
unas,89043,es
pasando,88887,es
atrás,88877,es
malo,88555,es
capitán,88550,es
bebé,88307,es
segundo,88232,es
sabemos,87714,es
mayor,87707,es
comida,87661,es
morir,87614,es
conozco,87429,es
dame,87200,es
fácil,87099,es
comer,86671,es
vino,86406,es
lista,86033,es
haga,85884,es
necesitas,85706,es
hijos,85020,es
probablemente,84911,es
padres,84855,es
habitación,84704,es
creer,84624,es
pensando,84438,es
fueron,84181,es
dime,84079,es
trata,83906,es
buscando,83655,es
tuve,83608,es
tampoco,83595,es
amo,83156,es
joven,82919,es
podrías,82328,es
sola,82229,es
par,81901,es
única,81808,es
hacen,81807,es
seguir,81723,es
simplemente,80350,es
dicen,80310,es
medio,80278,es
puta,80176,es
