word,frequency,lang_code
nie,8583207,pl
się,5144785,pl
jest,2730378,pl
tak,2202077,pl
jak,1709256,pl
ale,1523438,pl
mnie,1408401,pl
tym,871066,pl
tego,841575,pl
tylko,799409,pl
czy,798343,pl
może,793977,pl
jestem,774997,pl
cię,742982,pl
mam,722105,pl
jesteś,691420,pl
już,690940,pl
jeśli,670572,pl
dla,656889,pl
wiem,649740,pl
coś,643701,pl
dobrze,591715,pl
więc,585727,pl
teraz,571725,pl
pan,539584,pl
wszystko,533697,pl
być,531548,pl
będzie,497324,pl
masz,495877,pl
nic,495746,pl
tam,489015,pl
mogę,479016,pl
proszę,476755,pl
jej,475279,pl
gdzie,446600,pl
kiedy,446532,pl
ten,444007,pl
ciebie,433542,pl
sobie,424604,pl
był,422613,pl
wiesz,420223,pl
bardzo,409540,pl
było,404457,pl
przez,393715,pl
jego,389323,pl
chcę,385601,pl
dlaczego,383206,pl
pani,381444,pl
jeszcze,374688,pl
mój,370480,pl
nas,365829,pl
żeby,355927,pl
chcesz,345593,pl
ich,341869,pl
też,335955,pl
tutaj,326976,pl
naprawdę,317261,pl
nigdy,313438,pl
mamy,313042,pl
kto,307407,pl
możesz,299424,pl
dobra,294856,pl
przepraszam,292996,pl
gdy,272430,pl
muszę,272207,pl
porządku,268877,pl
dziękuję,266404,pl
nawet,258786,pl
chyba,258558,pl
domu,256483,pl
ona,253795,pl
prawda,253389,pl
zrobić,253069,pl
była,245906,pl
właśnie,242267,pl
będę,232300,pl
zawsze,227957,pl
hej,225912,pl
nim,225750,pl
nam,224591,pl
moja,222047,pl
musisz,220431,pl
dzięki,217087,pl
bez,215682,pl
tej,214760,pl
trochę,214463,pl
ktoś,212659,pl
panie,208261,pl
jesteśmy,207003,pl
moje,206240,pl
powiedzieć,205727,pl
który,201545,pl
czas,200261,pl
więcej,198115,pl
twój,197869,pl
musimy,197154,pl
lat,195079,pl
chce,192600,pl
możemy,191665,pl
wszyscy,190207,pl
tobą,190084,pl
albo,189924,pl
prostu,188283,pl
chodzi,187598,pl
razem,186710,pl
stało,180653,pl
cześć,178179,pl
mną,176201,pl
czego,175736,pl
sam,171134,pl
myślę,170414,pl
pana,170238,pl
przed,168472,pl
boże,168017,pl
raz,167947,pl
czemu,167836,pl
będziesz,165402,pl
niż,164897,pl
ludzie,164250,pl
dalej,162609,pl
czym,162304,pl
was,159757,pl
dobry,158271,pl
przy,156386,pl
ludzi,156290,pl
dzień,155719,pl
życie,155718,pl
lepiej,152593,pl
miał,152042,pl
rzeczy,151027,pl
twoja,150346,pl
czasu,149477,pl
temu,147615,pl
robisz,147246,pl
myślisz,146634,pl
kim,146518,pl
niech,145960,pl
które,144895,pl
oczywiście,143326,pl
siebie,143313,pl
niego,142933,pl
cóż,141898,pl
powiedział,141467,pl
daj,141158,pl
moim,140845,pl
chodź,140119,pl
musi,140063,pl
nikt,139542,pl
twoje,139460,pl
tych,138793,pl
pod,137518,pl
dlatego,136719,pl
pewnie,133794,pl
powiedz,133182,pl
aby,131894,pl
wtedy,129790,pl
wygląda,129394,pl
jeden,128427,pl
mojego,127604,pl
mówi,125721,pl
dziś,125499,pl
taki,124839,pl
mieć,124567,pl
jako,124059,pl
dwa,123485,pl
potem,123106,pl
wie,121813,pl
takie,121805,pl
nią,121535,pl
wszystkie,121446,pl
znaczy,121002,pl
rozumiem,119652,pl
dzieje,119411,pl
moją,119279,pl
będziemy,118181,pl
wiele,117908,pl
stąd,117056,pl
oni,116753,pl
mojej,116624,pl
miejsce,116573,pl
iść,115801,pl
kilka,115635,pl
pomóc,115614,pl
dużo,114952,pl
ile,112873,pl
jasne,112750,pl
byłem,112691,pl
swoje,111245,pl
myśli,111224,pl
cały,111220,pl
skąd,110204,pl
wiedzieć,108818,pl
dzieci,108419,pl
nich,108311,pl
która,106495,pl
wam,105972,pl
przykro,105926,pl
można,105450,pl
jakieś,105124,pl
wszystkich,104113,pl
nad,104024,pl
jakiś,103860,pl
sposób,103855,pl
trzeba,103284,pl
mają,103148,pl
niej,101430,pl
pracy,101224,pl
kogoś,100740,pl
tyle,100637,pl
robić,100071,pl
bardziej,100011,pl
mówisz,99924,pl
zanim,99188,pl
zbyt,97923,pl
szybko,97630,pl
dzisiaj,96974,pl
tobie,96562,pl
takiego,95637,pl
świetnie,94599,pl
zobaczyć,93981,pl
zaraz,93903,pl
pewno,93700,pl
miałem,93581,pl
kocham,93536,pl
mówię,93488,pl
nadal,92632,pl
jaki,92417,pl
rację,91651,pl
kochanie,91307,pl
myślałem,91134,pl
trzy,90688,pl
ojciec,90532,pl
ani,90528,pl
robi,89112,pl
stanie,88873,pl
później,88384,pl
ponieważ,88119,pl
idź,87510,pl
życia,87209,pl
twoim,87163,pl
przestań,87065,pl
sie,87050,pl
swoją,86609,pl
chciałem,86245,pl
długo,85469,pl
mamo,85342,pl
kiedyś,85085,pl
cholera,85043,pl
wciąż,84964,pl
nadzieję,84817,pl
będą,84671,pl
jutro,84479,pl
każdy,83960,pl
dni,83654,pl
problem,83534,pl
widzę,83206,pl
mógł,83152,pl
stary,82685,pl
taka,82627,pl
żebyś,81910,pl
widzisz,81669,pl
twojej,81185,pl
tato,80798,pl
potrzebuję,80733,pl
znowu,80445,pl
kurwa,80388,pl
dziecko,79933,pl
nocy,79849,pl
znaleźć,79743,pl
sama,79622,pl
dokładnie,79075,pl
dnia,79064,pl
pierwszy,78717,pl
czuję,78699,pl
pieniądze,78076,pl
powiem,77603,pl
zrobił,77295,pl
nami,77059,pl
miała,76988,pl
twoją,76979,pl
gdyby,76796,pl
nasz,76292,pl
nasze,75931,pl
razie,75917,pl
samo,75561,pl
były,74847,pl
dobre,74775,pl
słuchaj,74699,pl
koniec,74633,pl
chciał,74406,pl
widziałem,74347,pl
jakie,74262,pl
wszystkim,73695,pl
znam,73681,pl
wcześniej,73355,pl
spokój,72786,pl
chwilę,72545,pl
mama,72438,pl
sobą,71978,pl
zostać,71918,pl
został,71877,pl
czegoś,71676,pl
żyje,71606,pl
mówić,71251,pl
bym,71199,pl
którzy,70985,pl
porozmawiać,70763,pl
spójrz,70280,pl
roku,70154,pl
mogą,69684,pl
chciałbym,69552,pl
zabić,69481,pl
poza,69292,pl
dom,69135,pl
imię,68874,pl
twojego,68724,pl
lub,68669,pl
och,68323,pl
miło,67768,pl
którą,67713,pl
kogo,67541,pl
sir,67420,pl
minut,67386,pl
jakby,67124,pl
prawie,67021,pl
drzwi,66329,pl
byłam,66245,pl
jesteście,66213,pl
posłuchaj,65927,pl
powiedziałem,65923,pl
powodu,65567,pl
powinniśmy,65168,pl
gdzieś,64951,pl
końcu,64753,pl
lubię,64747,pl
mów,64652,pl
sprawy,64582,pl
czekaj,64420,pl
pomysł,64255,pl
zrobię,63828,pl
wiemy,63651,pl
wydaje,63560,pl
byłeś,63330,pl
razy,63104,pl
moich,63102,pl
człowiek,63033,pl
jednak,62868,pl
innego,62741,pl
dość,62209,pl
pomocy,61800,pl
przecież,61716,pl
panu,61607,pl
broń,61580,pl
żadnych,61525,pl
noc,61195,pl
macie,61132,pl
ciągle,60764,pl
żebym,60555,pl
źle,60434,pl
powiedziała,60189,pl
facet,60026,pl
mówiłem,60017,pl
którego,60003,pl
podoba,59878,pl
miejscu,59516,pl
jeżeli,59169,pl
skoro,59121,pl
ego,58894,pl
ojca,58549,pl
powinieneś,58024,pl
lata,57944,pl
sprawa,57856,pl
niczego,57307,pl
takim,57225,pl
pamiętasz,56932,pl
sądzę,56896,pl
właściwie,56835,pl
dwie,56476,pl
pokoju,56418,pl
którym,56135,pl
myślałam,56071,pl
jedno,56031,pl
idziemy,55806,pl
również,55758,pl
bądź,55385,pl
znasz,55261,pl
swój,55229,pl
swojego,54807,pl
byś,54807,pl
chodźmy,54775,pl
nowy,54491,pl
chciałam,54472,pl
pewien,54331,pl
wczoraj,53998,pl
jedną,53771,pl
musiał,53691,pl
której,53540,pl
idę,53304,pl
poważnie,53268,pl
swoim,53203,pl
życiu,53130,pl
rozumiesz,53130,pl
których,52926,pl
podczas,52846,pl
miałam,52829,pl
oczy,52355,pl
rano,52355,pl
sprawę,52167,pl
wystarczy,52163,pl
spokojnie,52140,pl
całą,52107,pl
telefon,52047,pl
rzecz,52028,pl
matka,51599,pl
samochód,51585,pl
świat,51569,pl
nimi,51542,pl
dwóch,51444,pl
pracę,51431,pl
dać,51351,pl
byli,51328,pl
powinienem,51140,pl
weź,50835,pl
jedna,50797,pl
zamknij,50773,pl
the,50765,pl
mały,50312,pl
pozwól,49943,pl
całe,49918,pl
wina,49907,pl
wiedziałem,49744,pl
wrócić,49697,pl
między,49415,pl
chcą,49319,pl
idzie,49266,pl
śmierci,49266,pl
mówił,49238,pl
numer,49237,pl
oto,48835,pl
miejsca,48805,pl
dopóki,48722,pl
czujesz,48450,pl
cokolwiek,48428,pl
swojej,48403,pl
nikogo,48390,pl
dam,48255,pl
powiedziałeś,48227,pl
tłumaczenie,48150,pl
dziewczyna,48121,pl
najpierw,47969,pl
pamiętam,47969,pl
powiesz,47952,pl
pytanie,47935,pl
inaczej,47823,pl
świecie,47523,pl
znów,47447,pl
wyglądasz,47416,pl
przynajmniej,47366,pl
widzieć,47356,pl
prawdę,47334,pl
zrobiłem,47178,pl
śmierć,46978,pl
swoich,46907,pl
halo,46790,pl
gdybym,46731,pl
jednego,46627,pl
pieniędzy,46568,pl
brzmi,46501,pl
wierzę,46461,pl
innych,46420,pl
trzymaj,46367,pl
robię,46318,pl
ogóle,46014,pl
super,45857,pl
kobiety,45776,pl
potrzebuje,45450,pl
tata,45429,pl
pójdę,45401,pl
wielu,45378,pl
dokąd,45324,pl
ręce,45261,pl
zrobiłeś,45029,pl
miłość,45014,pl
całkiem,44905,pl
naszej,44888,pl
nasza,44833,pl
możliwe,44742,pl
gra,44652,pl
prawo,44574,pl
inne,44490,pl
każdym,44183,pl
chwili,44130,pl
kobieta,44122,pl
jednym,44033,pl
zrób,43758,pl
ważne,43720,pl
wybacz,43521,pl
żona,43464,pl
chcemy,43459,pl
działa,43399,pl
byłoby,43379,pl
także,43313,pl
słyszałem,43175,pl
wiedział,43172,pl
dziewczyny,43167,pl
drogi,43073,pl
pewna,43040,pl
wiecie,43029,pl
mówią,42929,pl
cieszę,42927,pl
dopiero,42706,pl
poznać,42654,pl
serce,42632,pl
inny,42613,pl
witam,42326,pl
pojęcia,42179,pl
parę,42175,pl
przeciwko,42162,pl
udało,42119,pl
powinien,41938,pl
została,41576,pl
naszym,41559,pl
raczej,41421,pl
wiadomość,41387,pl
pięć,41321,pl
każdego,41265,pl
godziny,41202,pl
plan,41138,pl
wcale,41126,pl
ciało,41114,pl
słowa,41113,pl
witaj,41077,pl
naszego,41076,pl
mogła,41073,pl
czasie,40877,pl
dostać,40793,pl
nowego,40740,pl
czymś,40735,pl
stać,40538,pl
oznacza,40370,pl
jaką,40346,pl
naszych,40261,pl
patrz,40112,pl
czyli,40081,pl
twoich,40078,pl
człowieka,39970,pl
czasem,39932,pl
dziwne,39911,pl
żyć,39655,pl
zostaw,39651,pl
zabrać,39488,pl
żadnego,39438,pl
cholery,39410,pl
ostatnio,39381,pl
rodziny,39321,pl
ciężko,39281,pl
martw,39223,pl
miałeś,39170,pl
rozmawiać,39084,pl
rób,39070,pl
ziemi,38968,pl
nazywa,38934,pl
panowie,38901,pl
bóg,38877,pl
widziałam,38820,pl
szczęście,38781,pl
syn,38620,pl
takich,38607,pl
sprawie,38547,pl
zabił,38536,pl
powrotem,38412,pl
możecie,38390,pl
godzin,38376,pl
potrzebujemy,38326,pl
diabła,38300,pl
panią,38208,pl
powinnaś,38178,pl
ostatni,38076,pl
zrobimy,38021,pl
mąż,38015,pl
wyjść,38000,pl
krwi,37935,pl
szkoły,37711,pl
nieźle,37543,pl
syna,37529,pl
natychmiast,37383,pl
słucham,37361,pl
mieliśmy,37321,pl
taką,37250,pl
wszystkiego,37122,pl
widziałeś,37078,pl
serio,37054,pl
policja,36991,pl
chciała,36978,pl
zrobisz,36975,pl
byliśmy,36895,pl
radę,36845,pl
zgadza,36819,pl
one,36762,pl
czasami,36760,pl
końca,36704,pl
idziesz,36623,pl
zostanie,36567,pl
powinnam,36525,pl
byłaś,36501,pl
mogłem,36460,pl
drodze,36419,pl
mieli,36410,pl
najbardziej,36145,pl
pomoc,36087,pl
jaka,35963,pl
cztery,35779,pl
john,35776,pl
strony,35765,pl
część,35734,pl
należy,35527,pl
jack,35456,pl
kimś,35451,pl
głowy,35387,pl
brat,35343,pl
zobaczenia,35339,pl
blisko,35339,pl
zaczekaj,35297,pl
powiedziałam,35240,pl
uwierzyć,35160,pl
skarbie,35088,pl
zły,35086,pl
naszą,35060,pl
wieczór,35038,pl
dolarów,35024,pl
twarz,34913,pl
zostało,34854,pl
świata,34763,pl
cała,34715,pl
potrzebujesz,34677,pl
środku,34667,pl
pokój,34660,pl
innym,34536,pl
obchodzi,34533,pl
spotkanie,34509,pl
chcecie,34509,pl
gotowy,34480,pl
doktorze,34470,pl
temat,34455,pl
wielki,34394,pl
uważaj,34272,pl
daleko,34233,pl
pół,34172,pl
ode,34048,pl
uda,34038,pl
chociaż,34012,pl
kiedykolwiek,33956,pl
rok,33940,pl
lecz,33751,pl
miasta,33650,pl
poczekaj,33640,pl
robota,33534,pl
racja,33453,pl
człowiekiem,33408,pl
wieczorem,33354,pl
zależy,33298,pl
dobranoc,33281,pl
późno,33075,pl
chciałabym,33035,pl
mógłbym,32873,pl
krew,32692,pl
gdybyś,32674,pl
wziąć,32557,pl
lubi,32519,pl
słowo,32299,pl
powinno,32269,pl
zewnątrz,32202,pl
nowe,32163,pl
rodzina,32112,pl
wspaniale,32105,pl
mówiąc,32059,pl
stronie,32022,pl
miesięcy,32009,pl
głowę,31986,pl
robimy,31925,pl
znalazłem,31912,pl
lubisz,31809,pl
mniej,31609,pl
wrócę,31608,pl
wejść,31537,pl
wypadek,31481,pl
pierwsze,31477,pl
szybciej,31465,pl
tydzień,31404,pl
chłopaki,31397,pl
nieważne,31395,pl
pójść,31310,pl
praca,31247,pl
czeka,31029,pl
zobaczymy,30848,pl
taa,30840,pl
szansę,30763,pl
wiedziałam,30742,pl
widział,30658,pl
wody,30654,pl
dawaj,30586,pl
zna,30565,pl
mała,30535,pl
jezu,30520,pl
zrobi,30496,pl
pracować,30462,pl
moi,30425,pl
serca,30419,pl
jakoś,30301,pl
złe,30295,pl
chwila,30178,pl
prawa,30174,pl
sądzisz,30070,pl
według,30043,pl
spotkać,30034,pl
kapitanie,30031,pl
zupełnie,30003,pl
sprawdzić,29986,pl
mogli,29936,pl
ojcem,29727,pl
you,29561,pl
boga,29494,pl
okej,29454,pl
wspólnego,29430,pl
mówiłeś,29407,pl
mieście,29374,pl
robią,29223,pl
chłopak,29163,pl
jechać,28918,pl
prawdopodobnie,28888,pl
doktor,28866,pl
spać,28858,pl
pracuje,28796,pl
zdjęcia,28761,pl
wasza,28717,pl
uwagę,28655,pl
myśleć,28643,pl
mówiłam,28637,pl
znać,28636,pl
ciała,28594,pl
mógłbyś,28525,pl
problemy,28476,pl
okay,28411,pl
film,28387,pl
gotowa,28361,pl
tymi,28352,pl
zdjęcie,28190,pl
pogadać,28184,pl
brak,28086,pl
powiedziałaś,28067,pl
wiedzą,28020,pl
dał,27992,pl
małe,27991,pl
pomoże,27885,pl
ponad,27839,pl
mało,27826,pl
kilku,27800,pl
koleś,27771,pl
wkrótce,27752,pl
rękę,27740,pl
razu,27727,pl
mógłby,27710,pl
ostatnie,27656,pl
miasto,27605,pl
zrobiła,27470,pl
przyjaciół,27422,pl
stronę,27373,pl
góry,27343,pl
nazwisko,27334,pl
wami,27278,pl
całym,27192,pl
drogę,27157,pl
wystarczająco,27155,pl
zatrzymać,27060,pl
droga,27044,pl
niemożliwe,27033,pl
jakąś,27010,pl
mike,26970,pl
odejść,26953,pl
broni,26951,pl
zmienić,26928,pl
wszędzie,26923,pl
prosto,26867,pl
rodzice,26847,pl
początku,26814,pl
policji,26811,pl
nagle,26800,pl
drugi,26749,pl
brata,26727,pl
przyjaciel,26648,pl
wielkie,26635,pl
człowieku,26631,pl
choć,26621,pl
samego,26616,pl
muszą,26598,pl
często,26574,pl
dziecka,26555,pl
pomóż,26487,pl
dobrym,26487,pl
kłopoty,26435,pl
nazywam,26424,pl
większość,26385,pl
zacząć,26380,pl
roboty,26355,pl
zaczyna,26267,pl
żaden,26266,pl
pozwolić,26252,pl
matki,26235,pl
miłości,26212,pl
trudno,26211,pl
błąd,26199,pl
drugiej,26197,pl
głowie,26070,pl
dziewczynę,26056,pl
pokaż,26036,pl
córka,25965,pl
godzinę,25894,pl
michael,25891,pl
żadnej,25887,pl
jedynie,25885,pl
szkole,25837,pl
pierwsza,25835,pl
musiałem,25806,pl
wracaj,25782,pl
szkoda,25773,pl
george,25771,pl
siostra,25744,pl
zapomnij,25728,pl
pomyślałem,25697,pl
słyszysz,25682,pl
ponownie,25675,pl
przyszedł,25671,pl
całkowicie,25641,pl
charlie,25578,pl
zamiast,25569,pl
trzymać,25546,pl
musicie,25530,pl
czuje,25526,pl
gówno,25442,pl
trzech,25387,pl
rady,25371,pl
dowiedzieć,25366,pl
jakaś,25363,pl
obiecuję,25324,pl
osób,25314,pl
niestety,25308,pl
zadzwonić,25263,pl
samochodu,25213,pl
czekać,25180,pl
zatem,25143,pl
jakim,25114,pl
miało,25079,pl
piękna,25046,pl
oraz,25045,pl
zostań,25034,pl
rany,25007,pl
jedziemy,24986,pl
dasz,24958,pl
kraju,24944,pl
zrobiłam,24931,pl
zostawić,24884,pl
historia,24863,pl
mimo,24850,pl
zobacz,24849,pl
głupi,24833,pl
nowym,24832,pl
faceta,24816,pl
dawno,24806,pl
pokazać,24801,pl
widzenia,24777,pl
rodzinę,24752,pl
obok,24743,pl
jednej,24737,pl
powie,24730,pl
sami,24729,pl
przykład,24713,pl
tygodniu,24705,pl
chciałeś,24692,pl
dłużej,24657,pl
ruszaj,24639,pl
oboje,24633,pl
dół,24620,pl
najlepszy,24596,pl
wróci,24582,pl
odkąd,24575,pl
musiała,24572,pl
zabawne,24551,pl
górę,24521,pl
frank,24515,pl
łatwo,24514,pl
uważam,24511,pl
będziecie,24504,pl
wieku,24460,pl
mówiła,24458,pl
joe,24403,pl
synu,24390,pl
chłopcy,24383,pl
złego,24374,pl
niczym,24373,pl
męża,24293,pl
sporo,24287,pl
popatrz,24277,pl
inni,24210,pl
szefie,24199,pl
środka,24181,pl
znaleźliśmy,24179,pl
samym,24145,pl
pewnego,24131,pl
pracuję,24087,pl
panno,24027,pl
zajmę,24015,pl
zamierzam,23962,pl
istnieje,23865,pl
uważasz,23789,pl
okazji,23738,pl
moment,23721,pl
takiej,23699,pl
spróbuj,23634,pl
znajdziemy,23631,pl
osobą,23593,pl
nikomu,23556,pl
kupić,23508,pl
sześć,23429,pl
gość,23425,pl
niby,23408,pl
spróbować,23405,pl
póki,23399,pl
cicho,23347,pl
zła,23338,pl
jakiegoś,23300,pl
wezmę,23268,pl
walczyć,23261,pl
wiadomości,23132,pl
prawdziwe,23060,pl
niedługo,23053,pl
ciągu,23043,pl
żonę,23024,pl
tom,22874,pl
fbi,22839,pl
boję,22754,pl
strasznie,22686,pl
wasze,22630,pl
historii,22605,pl
dziewczyną,22572,pl
powinna,22571,pl
nowa,22549,pl
wrócił,22501,pl
mężczyzna,22495,pl
gotowi,22490,pl
głos,22455,pl
około,22453,pl
boli,22450,pl
zwykle,22416,pl
następnym,22408,pl
powodzenia,22396,pl
słyszałeś,22388,pl
widać,22281,pl
bracie,22271,pl
kocha,22242,pl
pewnością,22230,pl
leci,22219,pl
znajdę,22204,pl
zająć,22175,pl
zadzwonię,22170,pl
szczerze,22153,pl
dzieckiem,22120,pl
najlepsze,22083,pl
korekta,22016,pl
przyjdzie,22000,pl
próbuję,21988,pl
panem,21977,pl
szpitala,21950,pl
tędy,21935,pl
daje,21927,pl
słyszałam,21916,pl
myśl,21891,pl
statek,21879,pl
miałaś,21875,pl
najlepiej,21857,pl
ludźmi,21839,pl
wracam,21825,pl
pytania,21824,pl
wracać,21807,pl
powód,21793,pl
zrobiłaś,21784,pl
kobietą,21729,pl
prawdziwy,21719,pl
mogłam,21653,pl
seks,21635,pl
kolejny,21631,pl
pasuje,21592,pl
jedzenie,21570,pl
nienawidzę,21515,pl
przysięgam,21515,pl
umrzeć,21503,pl
proste,21482,pl
ulicy,21457,pl
przyjacielem,21433,pl
czyż,21401,pl
znalazł,21397,pl
nigdzie,21374,pl
zostały,21364,pl
włosy,21359,pl
ojcze,21359,pl
same,21357,pl
