word,frequency,lang_code
que,7796660,pt
não,6184188,pt
para,2508286,pt
uma,2017494,pt
está,1730804,pt
com,1659976,pt
por,1468581,pt
ele,1317770,pt
mas,1282196,pt
bem,1274031,pt
isso,1217291,pt
como,1152943,pt
sim,1012528,pt
mais,892867,pt
meu,835298,pt
aqui,807410,pt
muito,760484,pt
foi,752009,pt
ela,747284,pt
isto,691379,pt
estou,686473,pt
fazer,686159,pt
vamos,651942,pt
ser,609411,pt
vai,608385,pt
minha,594069,pt
tem,575074,pt
tudo,568890,pt
porque,559356,pt
tenho,552603,pt
vou,547784,pt
sei,538688,pt
quando,531356,pt
agora,525909,pt
estás,522891,pt
você,495201,pt
então,462434,pt
ter,456958,pt
era,445382,pt
quem,440212,pt
onde,439103,pt
nada,438483,pt
coisa,420098,pt
dizer,405907,pt
são,387784,pt
quero,382693,pt
estava,380620,pt
sou,377827,pt
seu,367140,pt
pode,364981,pt
mesmo,364076,pt
esta,351190,pt
eles,347740,pt
nós,347405,pt
sua,345099,pt
dos,343519,pt
todos,343245,pt
nos,334736,pt
mim,333626,pt
posso,330693,pt
bom,330491,pt
ver,330416,pt
este,329928,pt
casa,327883,pt
temos,326278,pt
tens,320962,pt
tua,319328,pt
nunca,318443,pt
estão,317676,pt
até,314181,pt
assim,309900,pt
teu,308841,pt
acho,305610,pt
falar,305482,pt
disse,304139,pt
ainda,302165,pt
tempo,298732,pt
também,287150,pt
pai,281920,pt
sobre,281719,pt
vez,277540,pt
quê,274643,pt
quer,265293,pt
favor,262661,pt
depois,260198,pt
tão,259927,pt
melhor,258887,pt
mãe,254232,pt
talvez,251703,pt
olá,250466,pt
obrigado,247510,pt
noite,245872,pt
sabes,243083,pt
sempre,242312,pt
deus,237806,pt
estamos,237471,pt
alguém,237392,pt
dia,237232,pt
certo,235843,pt
nem,233992,pt
alguma,232630,pt
vida,230367,pt
anos,229635,pt
dele,227691,pt
sem,226123,pt
vais,221707,pt
das,220773,pt
tinha,219573,pt
estar,214441,pt
queres,210363,pt
coisas,210324,pt
homem,209551,pt
pessoas,207381,pt
algo,204191,pt
pelo,202560,pt
ficar,200269,pt
boa,199250,pt
