word,frequency,lang_code
что,3552532,ru
это,2640455,ru
как,1174339,ru
мне,1077059,ru
нет,1049935,ru
меня,1010408,ru
так,995583,ru
его,752429,ru
все,722378,ru
она,713014,ru
тебя,702607,ru
если,631191,ru
тебе,588450,ru
они,534808,ru
чтобы,479027,ru
есть,450986,ru
просто,450715,ru
для,427940,ru
когда,421340,ru
хорошо,420527,ru
здесь,410266,ru
был,393771,ru
знаю,389247,ru
только,383956,ru
всё,373088,ru
было,371183,ru
вас,357146,ru
может,357142,ru
нас,351238,ru
вот,340913,ru
быть,313741,ru
кто,299982,ru
будет,298842,ru
почему,295613,ru
вам,289733,ru
очень,281777,ru
могу,280691,ru
уже,278258,ru
спасибо,273631,ru
или,272568,ru
нам,269029,ru
еще,268978,ru
там,264211,ru
нужно,255361,ru
сейчас,254448,ru
где,254081,ru
чем,253382,ru
хочу,252103,ru
ничего,248396,ru
этого,247989,ru
была,237832,ru
мой,234913,ru
ладно,229994,ru
знаешь,228414,ru
этом,220811,ru
потому,218628,ru
теперь,216086,ru
думаю,205407,ru
больше,202968,ru
раз,193840,ru
ему,189816,ru
надо,189178,ru
время,189069,ru
этот,184623,ru
ещё,179679,ru
пока,179122,ru
даже,178504,ru
привет,177992,ru
сказал,174338,ru
себя,172907,ru
должен,169695,ru
тоже,167958,ru
хочешь,166264,ru
давай,165828,ru
что-то,162833,ru
никогда,161918,ru
того,161739,ru
тогда,159343,ru
него,155644,ru
тут,154726,ru
были,154615,ru
конечно,154334,ru
правда,154307,ru
моя,146670,ru
пожалуйста,140855,ru
тобой,139908,ru
сказать,139229,ru
сегодня,136912,ru
один,135623,ru
лучше,132478,ru
можешь,131596,ru
сюда,130931,ru
мной,130107,ru
значит,127095,ru
сделать,126604,ru
всегда,126030,ru
дело,123228,ru
можно,123056,ru
должны,120950,ru
порядке,120906,ru
без,119843,ru
день,118088,ru
том,117709,ru
буду,115292,ru
делать,112020,ru
хотел,111407,ru
чего,111052,ru
эти,109769,ru
много,109541,ru
после,109028,ru
этим,108025,ru
всего,107074,ru
твой,105811,ru
ним,105636,ru
лет,102100,ru
боже,101843,ru
них,101466,ru
сэр,101299,ru
ведь,100777,ru
мистер,99992,ru
жизнь,99632,ru
потом,99575,ru
ней,99204,ru
такой,99052,ru
который,96989,ru
всех,96974,ru
через,96333,ru
возможно,95943,ru
немного,95662,ru
такое,95496,ru
слишком,94429,ru
себе,94381,ru
зачем,93100,ru
должна,91680,ru
моей,90410,ru
люди,90224,ru
знаете,90164,ru
этой,89526,ru
думаешь,88899,ru
свою,88160,ru
точно,86897,ru
человек,86853,ru
твоя,86378,ru
под,86143,ru
сказала,85749,ru
назад,85317,ru
из-за,84610,ru
эту,84553,ru
можем,83944,ru
случилось,83486,ru
мама,82770,ru
мог,82624,ru
вместе,82533,ru
отец,82443,ru
сделал,82144,ru
мои,81329,ru
кажется,81004,ru
друг,80587,ru
куда,80441,ru
никто,80070,ru
поэтому,78189,ru
эта,78060,ru
которые,77613,ru
два,77008,ru
тот,76641,ru
сколько,76611,ru
понимаю,76298,ru
снова,76265,ru
жизни,76144,ru
нравится,75431,ru
людей,74207,ru
