word,pos,lang_code
owsem,noun,pl
piernik,noun,pl
strzelam,verb,pl
obejmowano,verb,pl
końska,adj,pl
polanom,noun,pl
chan,noun,pl
owcę,noun,pl
chrząstkozrost,noun,pl
ciemięga,noun,pl
ubawie,noun,pl
gigabajt,noun,pl
supłach,noun,pl
zaabsorbuje,verb,pl
luksusowy,adj,pl
psiecko,noun,pl
fanfaron,noun,pl
wiodę,verb,pl
audiencja,noun,pl
upokarzałybyście,verb,pl
synkretyzm,noun,pl
knieją,noun,pl
tempa,noun,pl
wędki,noun,pl
manilowa,adj,pl
powiększaniami,noun,pl
przynosić,verb,pl
zawijas,noun,pl
zapewniałoby,verb,pl
suple,noun,pl
belfrować,verb,pl
zróbcie,verb,pl
rozpłatać,verb,pl
bajęda,noun,pl
wkręcić,verb,pl
mary,noun,pl
upity,adj,pl
ankietyzacyjny,adj,pl
kipczackimi,adj,pl
lałyby,verb,pl
dzielnicowy,adj,pl
gnębić,verb,pl
wysypisko,noun,pl
sarnom,noun,pl
prześpisz,verb,pl
wysyłałabym,verb,pl
lisiurze,noun,pl
marzycie,verb,pl
pracowała,verb,pl
interwałowemu,adj,pl
licytację,noun,pl
nawala,verb,pl
fatyczny,adj,pl
git,intj,pl
czcigodne,adj,pl
ginekologia,noun,pl
snopami,noun,pl
audytorkach,noun,pl
kwasowi,adj,pl
grawerowałyście,verb,pl
belizeńsku,adj,pl
lunatyzm,noun,pl
hangul,noun,pl
kameralniejszy,adj,pl
formuła,noun,pl
spolszczenie,noun,pl
bractwo,noun,pl
żmij,noun,pl
trening,noun,pl
sporny,adj,pl
zrudziały,verb,pl
góralką,noun,pl
haggis,noun,pl
szlachcić,verb,pl
głośniowy,adj,pl
tylo,conj,pl
dementowaliby,verb,pl
mantysa,noun,pl
oziębić,verb,pl
sekwoja,noun,pl
splotę,verb,pl
siądą,verb,pl
pijawek,noun,pl
podebrać,verb,pl
utoczyć,verb,pl
lupę,noun,pl
amatorskość,noun,pl
onanista,noun,pl
epitafium,noun,pl
diagnozowałyby,verb,pl
wspaniałej,adj,pl
tnące,verb,pl
lipców,noun,pl
zsynchronizować,verb,pl
bytować,verb,pl
zdechlak,noun,pl
niewiarę,noun,pl
reklamowalibyśmy,verb,pl
obszczymur,noun,pl
zdezaktywować,verb,pl
dobruchny,adj,pl
lokowanie,noun,pl
wasąg,noun,pl
masturbowała,verb,pl
zmaterializować,verb,pl
brandenburski,adj,pl
pełnowartościowy,adj,pl
bhutańskiej,adj,pl
żarówko,noun,pl
pytanko,noun,pl
deserowy,adj,pl
autoterapeutyczny,adj,pl
podrywka,noun,pl
ryspa,noun,pl
syropem,noun,pl
sklejką,noun,pl
hieno,noun,pl
sprawdziłem,verb,pl
czubatka,noun,pl
reagentem,noun,pl
burundyjskich,adj,pl
wiecom,noun,pl
fluor,noun,pl
stop,intj,pl
liścionosy,noun,pl
zeszłej,adj,pl
mężczyźnie,noun,pl
chorą,adj,pl
tenistki,noun,pl
porozmawiałybyście,verb,pl
zięć,noun,pl
dmuchali,verb,pl
absorpcyj,noun,pl
suni,noun,pl
dziamdzianie,noun,pl
napisałabym,verb,pl
faktury,noun,pl
postmodernistycznie,adv,pl
genetyczny,adj,pl
reakcyjny,adj,pl
rzadziutki,adj,pl
płaskim,adj,pl
poprzedzano,verb,pl
tkanek,noun,pl
płaskowzgórze,noun,pl
siądzie,verb,pl
zrzucać,verb,pl
spamer,noun,pl
wyasygnować,verb,pl
wągrzyca,noun,pl
błagałyście,verb,pl
astrochemiczny,adj,pl
ang.,noun,pl
prażymy,verb,pl
rogoząb,noun,pl
bajkowy,adj,pl
promach,noun,pl
jamajski,adj,pl
egzemplarzami,noun,pl
cnót,noun,pl
fobię,noun,pl
bełchatowianek,noun,pl
skwiercz,verb,pl
opiekujecie,verb,pl
cedrat,noun,pl
napromieniać,verb,pl
kaleczyć,verb,pl
porozmawialiby,verb,pl
zapewniałby,verb,pl
brusowi,noun,pl
szczodrego,adj,pl
faramuszka,noun,pl
krzemica,noun,pl
nokturn,noun,pl
mównica,noun,pl
wysadzić,verb,pl
ziewałybyśmy,verb,pl
krwistą,adj,pl
szczenię,noun,pl
bladsi,adj,pl
najście,noun,pl
piskliwie,adv,pl
niebieskawych,adj,pl
rumuńska,adj,pl
frunie,verb,pl
lotkom,noun,pl
zgniatanie,noun,pl
dostatek,noun,pl
zdrowo,adv,pl
krzepcy,adj,pl
kaszalot,noun,pl
staroindyjski,adj,pl
bagatelnością,noun,pl
baga,noun,pl
żryjmy,verb,pl
obciążałby,verb,pl
tylnik,noun,pl
mankament,noun,pl
guzowi,noun,pl
gruszkach,noun,pl
belki,noun,pl
doprowadzałam,verb,pl
swoja,pron,pl
włączałyśmy,verb,pl
wombatowate,noun,pl
szypułką,noun,pl
wpływania,noun,pl
powściągliwość,noun,pl
szczodremu,adj,pl
akademizować,verb,pl
absolutystę,noun,pl
jątrznica,noun,pl
geograf,noun,pl
drukująca,verb,pl
wirowi,noun,pl
naturalizować,verb,pl
medytacje,noun,pl
kurier,noun,pl
gląd,noun,pl
klasa,noun,pl
zapłodnić,verb,pl
kastrowali,verb,pl
rozmawianie,noun,pl
tracić,verb,pl
zapalony,verb,pl
lągł,verb,pl
audytorki,noun,pl
zamieszka,verb,pl
zapominałaby,verb,pl
wojna,noun,pl
realizujcie,verb,pl
hungarystka,noun,pl
manilowym,adj,pl
pod,prep,pl
aferzystkom,noun,pl
namknięcie,noun,pl
spudłować,verb,pl
obserwuję,verb,pl
pistacją,noun,pl
aprowidowałeś,verb,pl
majowi,noun,pl
nowoorleańskich,adj,pl
wpływano,verb,pl
czadyjskiego,adj,pl
obwisły,adj,pl
tłumacz,noun,pl
wierzenie,noun,pl
syfny,adj,pl
dźwignia,noun,pl
dmuchając,verb,pl
umyj,verb,pl
zagłuszenie,noun,pl
mijanemu,noun,pl
zimnego,adj,pl
kudłać,verb,pl
pejdać,verb,pl
zazryć,verb,pl
syryjsku,adj,pl
piosenkami,noun,pl
rodzicielką,noun,pl
abnegatów,noun,pl
dissować,verb,pl
audyty,noun,pl
bębenka,noun,pl
bezpartyjna,noun,pl
płaszczkach,noun,pl
pobór,noun,pl
gargulec,noun,pl
pulpit,noun,pl
tulą,verb,pl
najcieńszego,adj,pl
wykantopić,verb,pl
powtarzalibyśmy,verb,pl
zbiurokratyzować,verb,pl
tusz,verb,pl
bujdom,noun,pl
żupan,noun,pl
uwydatnić,verb,pl
flamandzkimi,adj,pl
córeńkami,noun,pl
rowy,noun,pl
kontrolowałbyś,verb,pl
łożą,verb,pl
trójkołowy,adj,pl
widząc,verb,pl
wilczura,noun,pl
buchaj,verb,pl
białostocki,adj,pl
skrobak,noun,pl
słupa,noun,pl
pisanka,noun,pl
pokoro,noun,pl
rwało,verb,pl
szczęt,noun,pl
delegat,noun,pl
brzanom,noun,pl
arnika,noun,pl
swatowi,noun,pl
wymiotowałam,verb,pl
abstrakcyjna,adj,pl
debiut,noun,pl
żartował,verb,pl
renta,noun,pl
luzytański,adj,pl
bryku,noun,pl
trojaki,adj,pl
pofarbować,verb,pl
cenny,adj,pl
różowi,adj,pl
niewyjściowy,adj,pl
roszczenie,noun,pl
bezan,noun,pl
muzyczko,noun,pl
odczynić,verb,pl
wściele,verb,pl
ostrogon,noun,pl
pogłębianie,noun,pl
mentalny,adj,pl
wertykalny,adj,pl
ortografia,noun,pl
robiłyśmy,verb,pl
odpowiadacz,noun,pl
gnij,verb,pl
jedlina,noun,pl
pot.,adj,pl
czubić,verb,pl
prychasz,verb,pl
naradzać,verb,pl
oddaną,adj,pl
skapnąć,verb,pl
klikalibyśmy,verb,pl
ziaje,verb,pl
sługi,noun,pl
bliźnia,adj,pl
sytość,noun,pl
indoeuropejskiego,adj,pl
wielbicielka,noun,pl
wystygać,verb,pl
okradałaś,verb,pl
śniegowy,adj,pl
gaszek,noun,pl
korumpować,verb,pl
zowąd,pron,pl
fanpage,noun,pl
theta,noun,pl
przeliterowywać,verb,pl
cioteczny,adj,pl
dałaby,verb,pl
widźmy,verb,pl
popiołu,noun,pl
impresywny,adj,pl
nabieranie,noun,pl
antyteatr,noun,pl
dziara,verb,pl
autorczy,adj,pl
doprowadzałbym,verb,pl
systemy,noun,pl
rowerowemu,adj,pl
ogranicza,verb,pl
adelborst,noun,pl
stylistka,noun,pl
podpale,noun,pl
podeschnął,verb,pl
ławka,noun,pl
powinno,adv,pl
żalić,verb,pl
szwy,noun,pl
zapewnialibyście,verb,pl
karcący,adj,pl
nieudacznicą,noun,pl
absorbera,noun,pl
taili,verb,pl
przymurek,noun,pl
podziwać,verb,pl
ignorowalibyście,verb,pl
łagier,noun,pl
miotła,noun,pl
metą,noun,pl
chować,verb,pl
krucza,adj,pl
refowaliście,verb,pl
siadający,verb,pl
ogłupieć,verb,pl
rade,adj,pl
aptekarstwo,noun,pl
suto,adv,pl
filigranowy,adj,pl
ufał,verb,pl
strzelali,verb,pl
separacja,noun,pl
umycie,noun,pl
cieśnią,verb,pl
